#X Y
#wavelengths, adjustedND
194.992857143 -1.0
195.457142857 -1.0
195.921428571 -1.0
196.385714286 -1.0
196.85 -1.0
197.314285714 -1.0
197.778571429 -1.0
198.242857143 -1.0
198.707142857 -1.0
199.171428571 -1.0
199.635714286 -1.0
200.1 -1.0
200.564285714 -1.0
201.028571429 -1.0
201.492857143 -1.0
201.957142857 -1.0
202.421428571 -1.0
202.885714286 -1.0
203.35 -1.0
203.814285714 -1.0
204.278571429 -1.0
204.742857143 -1.0
205.207142857 -1.0
205.671428571 -1.0
206.135714286 -1.0
206.6 -1.0
207.064285714 -1.0
207.528571429 -1.0
207.992857143 -1.0
208.457142857 -1.0
208.921428571 -1.0
209.385714286 -1.0
209.85 -1.0
210.314285714 -1.0
210.778571429 -1.0
211.242857143 -1.0
211.707142857 -1.0
212.171428571 -1.0
212.635714286 -1.0
213.1 -1.0
213.564285714 -1.0
214.028571429 -1.0
214.492857143 -1.0
214.957142857 -1.0
215.421428571 -1.0
215.885714286 -1.0
216.35 -1.0
216.814285714 -1.0
217.278571429 -1.0
217.742857143 -1.0
218.207142857 -1.0
218.671428571 -1.0
219.135714286 -1.0
219.6 -1.0
220.064285714 -1.0
220.528571429 -1.0
220.992857143 -1.0
221.457142857 -1.0
221.921428571 -1.0
222.385714286 -1.0
222.85 -1.0
223.314285714 -1.0
223.778571429 -1.0
224.242857143 -1.0
224.707142857 -1.0
225.171428571 -1.0
225.635714286 -1.0
226.1 -1.0
226.564285714 -1.0
227.028571429 -1.0
227.492857143 -1.0
227.957142857 -1.0
228.421428571 -1.0
228.885714286 -1.0
229.35 -1.0
229.814285714 -1.0
230.278571429 -1.0
230.742857143 -1.0
231.207142857 -1.0
231.671428571 -1.0
232.135714286 -1.0
232.6 -1.0
233.064285714 -1.0
233.528571429 -1.0
233.992857143 -1.0
234.457142857 -1.0
234.921428571 -1.0
235.385714286 -1.0
235.85 -1.0
236.314285714 -1.0
236.778571429 -1.0
237.242857143 -1.0
237.707142857 -1.0
238.171428571 -1.0
238.635714286 -1.0
239.1 -1.0
239.564285714 -1.0
240.028571429 -1.0
240.492857143 -1.0
240.957142857 -1.0
241.421428571 -1.0
241.885714286 -1.0
242.35 -1.0
242.814285714 -1.0
243.278571429 -1.0
243.742857143 -1.0
244.207142857 -1.0
244.671428571 -1.0
245.135714286 -1.0
245.6 -1.0
246.064285714 -1.0
246.528571429 -1.0
246.992857143 -1.0
247.457142857 -1.0
247.921428571 -1.0
248.385714286 -1.0
248.85 -1.0
249.314285714 -1.0
249.778571429 -1.0
250.242857143 -1.0
250.707142857 -1.0
251.171428571 -1.0
251.635714286 -1.0
252.1 -1.0
252.564285714 -1.0
253.028571429 -1.0
253.492857143 -1.0
253.957142857 -1.0
254.421428571 -1.0
254.885714286 -1.0
255.35 -1.0
255.814285714 -1.0
256.278571429 -1.0
256.742857143 -1.0
257.207142857 -1.0
257.671428571 -1.0
258.135714286 -1.0
258.6 -1.0
259.064285714 -1.0
259.528571429 -1.0
259.992857143 -1.0
260.457142857 -1.0
260.921428571 -1.0
261.385714286 -1.0
261.85 -1.0
262.314285714 -1.0
262.778571429 -1.0
263.242857143 -1.0
263.707142857 -1.0
264.171428571 -1.0
264.635714286 -1.0
265.1 -1.0
265.564285714 -1.0
266.028571429 -1.0
266.492857143 -1.0
266.957142857 -1.0
267.421428571 -1.0
267.885714286 -1.0
268.35 -1.0
268.814285714 -1.0
269.278571429 -1.0
269.742857143 -1.0
270.207142857 0.134188
270.671428571 0.134188
271.135714286 0.134039428571
271.6 0.134039428571
272.064285714 0.133890857143
272.528571429 0.133890857143
272.992857143 0.133890857143
273.457142857 0.133742285714
273.921428571 0.133742285714
274.385714286 0.133593714286
274.85 0.133593714286
275.314285714 0.133465714286
275.778571429 0.133465714286
276.242857143 0.133372857143
276.707142857 0.133372857143
277.171428571 0.13328
277.635714286 0.13328
278.1 0.133187142857
278.564285714 0.133187142857
279.028571429 0.133094285714
279.492857143 0.133094285714
279.957142857 0.133094285714
280.421428571 0.133001428571
280.885714286 0.133001428571
281.35 0.133
281.814285714 0.133
282.278571429 0.133
282.742857143 0.133
283.207142857 0.133
283.671428571 0.133
284.135714286 0.133
284.6 0.133
285.064285714 0.133
285.528571429 0.133
285.992857143 0.133
286.457142857 0.132966571429
286.921428571 0.132966571429
287.385714286 0.132910857143
287.85 0.132910857143
288.314285714 0.132855142857
288.778571429 0.132855142857
289.242857143 0.132799428571
289.707142857 0.132799428571
290.171428571 0.132743714286
290.635714286 0.132743714286
291.1 0.132696
291.564285714 0.132696
292.028571429 0.132677428571
292.492857143 0.132677428571
292.957142857 0.132677428571
293.421428571 0.132658857143
293.885714286 0.132658857143
294.35 0.132640285714
294.814285714 0.132640285714
295.278571429 0.132621714286
295.742857143 0.132621714286
296.207142857 0.132603142857
296.671428571 0.132603142857
297.135714286 0.132553714286
297.6 0.132553714286
298.064285714 0.132498
298.528571429 0.132498
298.992857143 0.132498
299.457142857 0.132442285714
299.921428571 0.132442285714
300.385714286 0.132386571429
300.85 0.132386571429
301.314285714 0.132330857143
301.778571429 0.132330857143
302.242857143 0.1323
302.707142857 0.1323
303.171428571 0.1323
303.635714286 0.1323
304.1 0.1323
304.564285714 0.1323
305.028571429 0.1323
305.492857143 0.1323
305.957142857 0.1323
306.421428571 0.1323
306.885714286 0.1323
307.35 0.132301142857
307.814285714 0.132301142857
308.278571429 0.132319714286
308.742857143 0.132319714286
309.207142857 0.132338285714
309.671428571 0.132338285714
310.135714286 0.132356857143
310.6 0.132356857143
311.064285714 0.132375428571
311.528571429 0.132375428571
311.992857143 0.132375428571
312.457142857 0.132394
312.921428571 0.132394
313.385714286 0.132450285714
313.85 0.132450285714
314.314285714 0.132524571429
314.778571429 0.132524571429
315.242857143 0.132598857143
315.707142857 0.132598857143
316.171428571 0.132673142857
316.635714286 0.132673142857
317.1 0.132747428571
317.564285714 0.132747428571
318.028571429 0.132794571429
318.492857143 0.132794571429
318.957142857 0.132794571429
319.421428571 0.132776
319.885714286 0.132776
320.35 0.132757428571
320.814285714 0.132757428571
321.278571429 0.132738857143
321.742857143 0.132738857143
322.207142857 0.132720285714
322.671428571 0.132720285714
323.135714286 0.132701714286
323.6 0.132701714286
324.064285714 0.1327
324.528571429 0.1327
324.992857143 0.1327
325.457142857 0.1327
325.921428571 0.1327
326.385714286 0.1327
326.85 0.1327
327.314285714 0.1327
327.778571429 0.1327
328.242857143 0.1327
328.707142857 0.1327
329.171428571 0.132690285714
329.635714286 0.132690285714
330.1 0.132671714286
330.564285714 0.132671714286
331.028571429 0.132653142857
331.492857143 0.132653142857
331.957142857 0.132653142857
332.421428571 0.132634571429
332.885714286 0.132634571429
333.35 0.132616
333.814285714 0.132616
334.278571429 0.132594857143
334.742857143 0.132594857143
335.207142857 0.132557714286
335.671428571 0.132557714286
336.135714286 0.132520571429
336.6 0.132520571429
337.064285714 0.132483428571
337.528571429 0.132483428571
337.992857143 0.132483428571
338.457142857 0.132446285714
338.921428571 0.132446285714
339.385714286 0.132409142857
339.85 0.132409142857
340.314285714 0.13233
340.778571429 0.13233
341.242857143 0.132237142857
341.707142857 0.132237142857
342.171428571 0.132144285714
