#wavelengths intensities x_star_from_pulkovo y_star_from_pulkovo
762.5 0.0491 762.5 0.0491
765.0 0.0483 765.0 0.0483
767.5 0.0474 767.5 0.0474
770.0 0.0466 770.0 0.0466
772.5 0.0447 772.5 0.0447
775.0 0.045 775.0 0.045
777.5 0.0444 777.5 0.0444
780.0 0.0444 780.0 0.0444
782.5 0.0441 782.5 0.0441
785.0 0.0438 785.0 0.0438
787.5 0.0433 787.5 0.0433
790.0 0.042 790.0 0.042
792.5 0.0416 792.5 0.0416
795.0 0.0415 795.0 0.0415
797.5 0.041 797.5 0.041
800.0 0.0411 800.0 0.0411
802.5 0.0397 802.5 0.0397
805.0 0.0393 805.0 0.0393
807.5 0.0394 807.5 0.0394
810.0 0.0385 810.0 0.0385
812.5 0.0384 812.5 0.0384
815.0 0.0384 815.0 0.0384
817.5 0.0382 817.5 0.0382
820.0 0.0387 820.0 0.0387
822.5 0.0381 822.5 0.0381
825.0 0.0379 825.0 0.0379
827.5 0.0373 827.5 0.0373
830.0 0.0372 830.0 0.0372
832.5 0.0367 832.5 0.0367
835.0 0.0363 835.0 0.0363
837.5 0.0361 837.5 0.0361
840.0 0.0358 840.0 0.0358
842.5 0.0354 842.5 0.0354
845.0 0.0356 845.0 0.0356
847.5 0.0352 847.5 0.0352
850.0 0.0346 850.0 0.0346
852.5 0.0345 852.5 0.0345
855.0 0.034 855.0 0.034
857.5 0.0338 857.5 0.0338
860.0 0.0335 860.0 0.0335
862.5 0.0334 862.5 0.0334
865.0 0.0331 865.0 0.0331
867.5 0.0333 867.5 0.0333
870.0 0.0332 870.0 0.0332
872.5 0.0328 872.5 0.0328
875.0 0.0329 875.0 0.0329
877.5 0.0328 877.5 0.0328
880.0 0.0325 880.0 0.0325
882.5 0.0317 882.5 0.0317
885.0 0.0314 885.0 0.0314
887.5 0.0318 887.5 0.0318
890.0 0.0317 890.0 0.0317
892.5 0.0313 892.5 0.0313
895.0 0.0303 895.0 0.0303
897.5 0.0282 897.5 0.0282
900.0 0.0277 900.0 0.0277
902.5 0.028 902.5 0.028
905.0 0.0293 905.0 0.0293
907.5 0.0302 907.5 0.0302
910.0 0.0301 910.0 0.0301
912.5 0.0301 912.5 0.0301
915.0 0.029 915.0 0.029
917.5 0.0269 917.5 0.0269
920.0 0.0258 920.0 0.0258
922.5 0.0256 922.5 0.0256
925.0 0.0259 925.0 0.0259
927.5 0.0273 927.5 0.0273
930.0 0.0275 930.0 0.0275
932.5 0.0272 932.5 0.0272
935.0 0.0279 935.0 0.0279
937.5 0.0274 937.5 0.0274
940.0 0.0276 940.0 0.0276
942.5 0.0267 942.5 0.0267
945.0 0.0258 945.0 0.0258
947.5 0.0253 947.5 0.0253
950.0 0.0236 950.0 0.0236
952.5 0.0234 952.5 0.0234
955.0 0.0234 955.0 0.0234
957.5 0.0245 957.5 0.0245
960.0 0.0257 960.0 0.0257
962.5 0.0257 962.5 0.0257
965.0 0.0258 965.0 0.0258
967.5 0.0256 967.5 0.0256
970.0 0.0252 970.0 0.0252
972.5 0.0251 972.5 0.0251
975.0 0.0251 975.0 0.0251
977.5 0.025 977.5 0.025
980.0 0.0247 980.0 0.0247
982.5 0.0249 982.5 0.0249
985.0 0.0245 985.0 0.0245
987.5 0.0245 987.5 0.0245
990.0 0.0243 990.0 0.0243
992.5 0.0241 992.5 0.0241
995.0 0.0238 995.0 0.0238
997.5 0.023 997.5 0.023
1000.0 0.0214 1000.0 0.0214
1002.5 0.0204 1002.5 0.0204
1005.0 0.02 1005.0 0.02
1007.5 0.0206 1007.5 0.0206
1010.0 0.022 1010.0 0.022
1012.5 0.0225 1012.5 0.0225
1015.0 0.0225 1015.0 0.0225
1017.5 0.0222 1017.5 0.0222
1020.0 0.0222 1020.0 0.0222
1022.5 0.0219 1022.5 0.0219
1025.0 0.0221 1025.0 0.0221
1027.5 0.0216 1027.5 0.0216
1030.0 0.0218 1030.0 0.0218
1032.5 0.0215 1032.5 0.0215
1035.0 0.0214 1035.0 0.0214
1037.5 0.0213 1037.5 0.0213
1040.0 0.0213 1040.0 0.0213
1042.5 0.021 1042.5 0.021
1045.0 0.0209 1045.0 0.0209
1047.5 0.021 1047.5 0.021
1050.0 0.0209 1050.0 0.0209
1052.5 0.0207 1052.5 0.0207
1055.0 0.0201 1055.0 0.0201
1057.5 0.0203 1057.5 0.0203
1060.0 0.02 1060.0 0.02
1062.5 0.02 1062.5 0.02
1065.0 0.0199 1065.0 0.0199
1067.5 0.0199 1067.5 0.0199
1070.0 0.0198 1070.0 0.0198
1072.5 0.0196 1072.5 0.0196
1075.0 0.0191 1075.0 0.0191
1077.5 0.0192 1077.5 0.0192
1080.0 0.0181 1080.0 0.0181
320.0 0.1307 320.0 0.1307
322.5 0.135 322.5 0.135
325.0 0.1328 325.0 0.1328
327.5 0.1329 327.5 0.1329
330.0 0.1323 330.0 0.1323
332.5 0.1332 332.5 0.1332
335.0 0.1318 335.0 0.1318
337.5 0.1322 337.5 0.1322
340.0 0.1319 340.0 0.1319
342.5 0.134 342.5 0.134
345.0 0.1321 345.0 0.1321
347.5 0.1329 347.5 0.1329
350.0 0.1323 350.0 0.1323
352.5 0.1327 352.5 0.1327
355.0 0.1328 355.0 0.1328
357.5 0.1309 357.5 0.1309
360.0 0.1297 360.0 0.1297
362.5 0.128 362.5 0.128
365.0 0.1287 365.0 0.1287
367.5 0.1275 367.5 0.1275
370.0 0.1264 370.0 0.1264
372.5 0.1329 372.5 0.1329
375.0 0.1511 375.0 0.1511
377.5 0.173 377.5 0.173
380.0 0.1984 380.0 0.1984
382.5 0.2114 382.5 0.2114
385.0 0.2439 385.0 0.2439
387.5 0.2325 387.5 0.2325
390.0 0.2496 390.0 0.2496
392.5 0.3073 392.5 0.3073
395.0 0.2401 395.0 0.2401
397.5 0.2239 397.5 0.2239
400.0 0.3006 400.0 0.3006
402.5 0.3197 402.5 0.3197
405.0 0.313 405.0 0.313
407.5 0.2462 407.5 0.2462
410.0 0.2025 410.0 0.2025
412.5 0.2561 412.5 0.2561
415.0 0.2976 415.0 0.2976
417.5 0.2921 417.5 0.2921
420.0 0.2879 420.0 0.2879
422.5 0.2852 422.5 0.2852
425.0 0.2831 425.0 0.2831
427.5 0.2769 427.5 0.2769
430.0 0.2482 430.0 0.2482
432.5 0.1864 432.5 0.1864
435.0 0.1879 435.0 0.1879
437.5 0.2441 437.5 0.2441
440.0 0.2521 440.0 0.2521
442.5 0.2487 442.5 0.2487
445.0 0.2428 445.0 0.2428
447.5 0.2366 447.5 0.2366
450.0 0.2342 450.0 0.2342
452.5 0.2308 452.5 0.2308
455.0 0.2255 455.0 0.2255
457.5 0.2224 457.5 0.2224
460.0 0.2208 460.0 0.2208
462.5 0.2204 462.5 0.2204
465.0 0.2184 465.0 0.2184
467.5 0.2148 467.5 0.2148
470.0 0.2146 470.0 0.2146
472.5 0.2105 472.5 0.2105
475.0 0.2063 475.0 0.2063
477.5 0.2027 477.5 0.2027
480.0 0.1986 480.0 0.1986
482.5 0.176 482.5 0.176
485.0 0.1363 485.0 0.1363
487.5 0.141 487.5 0.141
490.0 0.1764 490.0 0.1764
492.5 0.1847 492.5 0.1847
495.0 0.1831 495.0 0.1831
497.5 0.1798 497.5 0.1798
500.0 0.1759 500.0 0.1759
502.5 0.1746 502.5 0.1746
505.0 0.1722 505.0 0.1722
507.5 0.1711 507.5 0.1711
510.0 0.1687 510.0 0.1687
512.5 0.1669 512.5 0.1669
515.0 0.1634 515.0 0.1634
517.5 0.1595 517.5 0.1595
520.0 0.1592 520.0 0.1592
522.5 0.156 522.5 0.156
525.0 0.1539 525.0 0.1539
527.5 0.1518 527.5 0.1518
530.0 0.1496 530.0 0.1496
532.5 0.1471 532.5 0.1471
535.0 0.1468 535.0 0.1468
537.5 0.1457 537.5 0.1457
540.0 0.1435 540.0 0.1435
542.5 0.1415 542.5 0.1415
545.0 0.1391 545.0 0.1391
547.5 0.1364 547.5 0.1364
550.0 0.1358 550.0 0.1358
552.5 0.1337 552.5 0.1337
555.0 0.1307 555.0 0.1307
557.5 0.1304 557.5 0.1304
560.0 0.1282 560.0 0.1282
562.5 0.1252 562.5 0.1252
565.0 0.123 565.0 0.123
567.5 0.1215 567.5 0.1215
570.0 0.1204 570.0 0.1204
572.5 0.1188 572.5 0.1188
575.0 0.1172 575.0 0.1172
577.5 0.1162 577.5 0.1162
580.0 0.1113 580.0 0.1113
582.5 0.1097 582.5 0.1097
585.0 0.111 585.0 0.111
587.5 0.11 587.5 0.11
590.0 0.1078 590.0 0.1078
592.5 0.1079 592.5 0.1079
595.0 0.1062 595.0 0.1062
597.5 0.1047 597.5 0.1047
600.0 0.1027 600.0 0.1027
602.5 0.1029 602.5 0.1029
605.0 0.1009 605.0 0.1009
607.5 0.1001 607.5 0.1001
610.0 0.0991 610.0 0.0991
612.5 0.0975 612.5 0.0975
615.0 0.0959 615.0 0.0959
617.5 0.0953 617.5 0.0953
620.0 0.0932 620.0 0.0932
622.5 0.0932 622.5 0.0932
625.0 0.0918 625.0 0.0918
627.5 0.0897 627.5 0.0897
630.0 0.0887 630.0 0.0887
632.5 0.089 632.5 0.089
635.0 0.0869 635.0 0.0869
637.5 0.0861 637.5 0.0861
640.0 0.0851 640.0 0.0851
642.5 0.0842 642.5 0.0842
645.0 0.0836 645.0 0.0836
647.5 0.0838 647.5 0.0838
650.0 0.0788 650.0 0.0788
652.5 0.0722 652.5 0.0722
655.0 0.0596 655.0 0.0596
657.5 0.0624 657.5 0.0624
660.0 0.0743 660.0 0.0743
662.5 0.0768 662.5 0.0768
665.0 0.0771 665.0 0.0771
667.5 0.0761 667.5 0.0761
670.0 0.074 670.0 0.074
672.5 0.0735 672.5 0.0735
675.0 0.0728 675.0 0.0728
677.5 0.0717 677.5 0.0717
680.0 0.07 680.0 0.07
682.5 0.0691 682.5 0.0691
685.0 0.0696 685.0 0.0696
687.5 0.065 687.5 0.065
690.0 0.0684 690.0 0.0684
692.5 0.0672 692.5 0.0672
695.0 0.066 695.0 0.066
697.5 0.0651 697.5 0.0651
700.0 0.0637 700.0 0.0637
702.5 0.0621 702.5 0.0621
705.0 0.0617 705.0 0.0617
707.5 0.0606 707.5 0.0606
710.0 0.06 710.0 0.06
712.5 0.0596 712.5 0.0596
715.0 0.0599 715.0 0.0599
717.5 0.0581 717.5 0.0581
720.0 0.0559 720.0 0.0559
722.5 0.0571 722.5 0.0571
725.0 0.0564 725.0 0.0564
727.5 0.0554 727.5 0.0554
730.0 0.0547 730.0 0.0547
732.5 0.0547 732.5 0.0547
735.0 0.0532 735.0 0.0532
